10:30:38.995  ════ THRUSTER DIAGNOSTIC START ════
10:30:38.996  thrusterForce=400 N  mass=4500 kg  arm=1.5 m  theory_accel=0.0889 m/s²  theory_alpha=0.0333 rad/s²
10:30:38.996  shortBurn=0.25s  longBurn=1s  settleTime=2s
10:30:38.996  Hard brake command=1265 N (0.2810 m/s²)  Soft brake command=612 N (0.1360 m/s²)
10:30:38.996  Columns: label | dur | ΔVx ΔVy ΔVz (m/s) | ax ay az (m/s²)
10:30:38.996  Off-axis values reveal axial coupling from lateral/attitude commands.
10:30:41.393  +Fz Approach  (T04-T07)          | dur=0.25s | dV  (+0.0000 +0.0000 +0.0714) m/s | a   (+0.0000 +0.0000 +0.2856) m/s²
10:30:46.533  +Fz Approach  (T04-T07)          | dur=1.00s | dV  (+0.0000 +0.0000 +0.2915) m/s | a   (+0.0000 +0.0000 +0.2915) m/s²
10:30:50.922  -Fz HardBrake (T08-T15)          | dur=0.25s | dV  (+0.0000 +0.0000 -0.1234) m/s | a   (+0.0000 +0.0000 -0.4936) m/s²
10:30:56.077  -Fz HardBrake (T08-T15)          | dur=1.00s | dV  (+0.0000 +0.0000 -0.5039) m/s | a   (+0.0000 +0.0000 -0.5039) m/s²
10:31:00.494  -Fz SoftBrake (T08-T11)          | dur=0.25s | dV  (+0.0000 +0.0000 -0.0594) m/s | a   (+0.0000 +0.0000 -0.2376) m/s²
10:31:05.633  -Fz SoftBrake (T08-T11)          | dur=1.00s | dV  (+0.0000 +0.0000 -0.2426) m/s | a   (+0.0000 +0.0000 -0.2426) m/s²
10:31:10.056  +Fx Right                        | dur=0.25s | dV  (+0.0386 +0.0000 -0.0260) m/s | a   (+0.1545 -0.0001 -0.1040) m/s²
10:31:15.218  +Fx Right                        | dur=1.00s | dV  (+0.1577 -0.0002 -0.1062) m/s | a   (+0.1577 -0.0002 -0.1062) m/s²
10:31:19.589  -Fx Left                         | dur=0.25s | dV  (-0.0386 +0.0000 -0.0260) m/s | a   (-0.1545 +0.0001 -0.1040) m/s²
10:31:24.747  -Fx Left                         | dur=1.00s | dV  (-0.1577 +0.0002 -0.1062) m/s | a   (-0.1577 +0.0002 -0.1062) m/s²
10:31:29.187  +Fy Up                           | dur=0.25s | dV  (+0.0000 +0.0501 -0.0260) m/s | a   (+0.0001 +0.2003 -0.1040) m/s²
10:31:34.306  +Fy Up                           | dur=1.00s | dV  (+0.0003 +0.2046 -0.1060) m/s | a   (+0.0003 +0.2046 -0.1060) m/s²
10:31:38.704  -Fy Down                         | dur=0.25s | dV  (+0.0000 -0.0501 -0.0260) m/s | a   (-0.0001 -0.2003 -0.1040) m/s²
10:31:43.914  -Fy Down                         | dur=1.00s | dV  (-0.0003 -0.2046 -0.1060) m/s | a   (-0.0003 -0.2046 -0.1060) m/s²
10:31:48.278  +Tx Pitch up                     | dur=0.25s | dW  (+0.0377 +0.0000 +0.0000) rad/s | α   (+0.1510 +0.0000 +0.0000) rad/s²
10:31:53.453  +Tx Pitch up                     | dur=1.00s | dW  (+0.1573 +0.0000 +0.0000) rad/s | α   (+0.1573 +0.0000 +0.0000) rad/s²
10:31:57.882  -Tx Pitch down                   | dur=0.25s | dW  (-0.0377 +0.0000 +0.0000) rad/s | α   (-0.1510 +0.0000 +0.0000) rad/s²
10:32:03.022  -Tx Pitch down                   | dur=1.00s | dW  (-0.1541 +0.0000 +0.0000) rad/s | α   (-0.1541 +0.0000 +0.0000) rad/s²
10:32:07.405  +Ty Yaw right                    | dur=0.25s | dW  (+0.0000 +0.0253 +0.0000) rad/s | α   (+0.0000 +0.1010 +0.0000) rad/s²
10:32:12.577  +Ty Yaw right                    | dur=1.00s | dW  (+0.0000 +0.1031 +0.0000) rad/s | α   (+0.0000 +0.1031 +0.0000) rad/s²
10:32:16.947  -Ty Yaw left                     | dur=0.25s | dW  (+0.0000 -0.0253 +0.0000) rad/s | α   (+0.0000 -0.1010 +0.0000) rad/s²
10:32:22.086  -Ty Yaw left                     | dur=1.00s | dW  (+0.0000 -0.1031 +0.0000) rad/s | α   (+0.0000 -0.1031 +0.0000) rad/s²
10:32:26.498  +Tz Roll CW                      | dur=0.25s | dW  (+0.0000 +0.0000 +0.0528) rad/s | α   (+0.0000 +0.0000 +0.2111) rad/s²
10:32:31.625  +Tz Roll CW                      | dur=1.00s | dW  (+0.0000 +0.0000 +0.2155) rad/s | α   (+0.0000 +0.0000 +0.2155) rad/s²
10:32:36.015  -Tz Roll CCW                     | dur=0.25s | dW  (+0.0000 +0.0000 -0.0528) rad/s | α   (+0.0000 +0.0000 -0.2111) rad/s²
10:32:41.142  -Tz Roll CCW                     | dur=1.00s | dW  (+0.0000 +0.0000 -0.2155) rad/s | α   (+0.0000 +0.0000 -0.2155) rad/s²
10:32:45.565  +Fx+Fz LAT_CORR combo            | dur=0.25s | dV  (+0.0482 +0.0000 +0.0097) m/s | a   (+0.1928 -0.0001 +0.0386) m/s²
10:32:50.711  +Fx+Fz LAT_CORR combo            | dur=1.00s | dV  (+0.1971 -0.0002 +0.0380) m/s | a   (+0.1971 -0.0002 +0.0380) m/s²
10:32:55.121  -Fx+Fz LAT_CORR combo            | dur=0.25s | dV  (-0.0482 +0.0000 +0.0097) m/s | a   (-0.1928 +0.0001 +0.0386) m/s²
10:33:00.288  -Fx+Fz LAT_CORR combo            | dur=1.00s | dV  (-0.1971 +0.0002 +0.0380) m/s | a   (-0.1971 +0.0002 +0.0380) m/s²
